Commodity, Weight in Kg, Price in Rs
Avarai Belt, 1, 44
Avarai Kolee, 1, 30
Avarai ottu, 1, –
Beans, 1, 40
Beetroot, 1, 4
Bellary, 1, 25
C Flower, 1 Flower, 8
C Vengayam, 1, 45
Chaw Chaw, 1, 20
Kaththari Disco, 1, 5
Kaththari Green, 1, 4
Kothavarai, 1, 14
Milagai Samba, 1, 14
Milagai urundai, 1, 13
Mullaingi, 1, 4
Murungai chedi, 1, 48
Murungai Maram, 1, 40
Nelli, 1, 20
Pavarkai, 1, 14
Perkangkai, 1, 7
Pudalai, 1, 10
Red Pusanikkai, 1, 5
Sambar Vellari, 1, 4
Suraikai, 1, 2
Thakkali, 1, 20
Thatta payaru, 1, 12
Vendai, 1, 17
