,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Belt Beans / Avarai Belt, 1, 20,2015-10-26
1,Beans Kolee / Avarai Kolee, 1, 22,2015-10-26
2,Avarai ottu, 1, –,2015-10-26
3,Beans, 1, 15,2015-10-26
4,Beetroot, 1, 6,2015-10-26
5,Bellary / Big Onion, 1, 50,2015-10-26
6,Cauliflower, 1 Flower, 9,2015-10-26
7,Small Onion / Chinna Vengayam, 1, 45,2015-10-26
8,Chaw Chaw, 1, 20,2015-10-26
9,Disco Brinjal / Kaththari kai Disco, 1, 10,2015-10-26
10,Green Brinjal / Kaththari Kai Pachai, 1, 8,2015-10-26
11,Cluster Beans / Kothavarai, 1, 12,2015-10-26
12,Samba Chilli / Milagai Samba, 1, 12,2015-10-26
13,Round Chilli / Milagai Urundai, 1, 15,2015-10-26
14,Radish / Mullangi, 1, 5,2015-10-26
15,Drumstick / Murungai Chedi, 1, 20,2015-10-26
16,Drumstick / Murungai Maram, 1, 18,2015-10-26
17,Nelli Kai, 1, 30,2015-10-26
18,Bitter Gourd / Pakar kai, 1, 12,2015-10-26
19,Perkangkai, 1, 17,2015-10-26
20,Snake Guard / Pudalai, 1, 6,2015-10-26
21,Red Pumpkin / Red Pusanikkai, 1, 4,2015-10-26
22,Sambar Vellari, 1, 5,2015-10-26
23,Bottle gourd / Suraikai, 1, 6,2015-10-26
24,Tomato / Thakkali, 1, 17,2015-10-26
25,Thatta payaru, 1, 15,2015-10-26
26,Lady’s Finger / Venda Kai, 1, 10,2015-10-26
27,Lemon / Elumbichai, 1, 57,2015-10-26
