Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 18
Tomotto ottu, 1, 32
Ladys Finger, 1, 24
Snake Guard, 1, 16
Bitter Gourd, 1, 24
Bottle gourd, 1, 8
Pumpkin, 1, 14
Bean, 1, 56
Cluster Beans, 1, 16
Red Chilies, 1, 20
Onion, 1, 34
Pallari, 1, 26
Ginger, 1, –
Potato, 1, 24
Radish, 1, 16
Mango, 1, –
Cabbage, 1, 24
Carrot, 1, 32
Beetroot, 1, 30
Soybeans, 1, 100
Drumstick beans, 1, 48
butter beans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 10
Banana Flower, 1, 8
Curry leaves, 1, 30
Coriander leaves, 1, 40
Mint, 1, 20
Greens Leaves, 1, 12
Garlic, 1, 100
Button Mushrooms, 1, 180
Papaya, 1, 20
SavSav, 1, 24
Sapotta, 1, 18
