Commodity, Weight in Kg, Price in Rs
Brinjal / Kathari, 1, 36
Tomotto ottu / Thakkali Ottu, 1, 20
Lady’s Finger / Venda Kai, 1, 36
Snake Guard / Pudalai, 1, 14
Bitter Gourd / Pakar kai, 1, 28
Bottle gourd / Sura kai, 1, 8
Pumpkin / Pusani kai, 1, 16
Beans / Avarai Kai, 1, 50
Cluster Beans / Kothavarai, 1, 20
Red Chilies / Kundu Milagai, 1, 30
Small Onion / Chinna Vengayam, 1, 40
Big Onion / Pallari, 1, 40
Ginger /  Inji, 1, –
Potato / Urulai Kelangu, 1, 28
Radish / Mulangi, 1, 16
Mango / Maa, 1, –
Cabbage / Mutta Kose, 1, 16
Carrot, 1, 30
Beetroot, 1, 20
Soya Beans, 1, 80
Drumstick Beans / Murungai Beans, 1, 40
Butter beans, 1, –
Banana nut / Vala kai, 1 piece, 4
Banana stem / Vala Thandu, 1, 10
Banana Flower / Vala Poo, 1, 12
Curry leaves / Karu Vepilai, 1, 20
Coriander leaves / Malli Ilai, 1, 40
Mint / Puthina, 1, 30
Greens Leaves / Keerai Kattu, 1, 10
Garlic / Poondu, 1, 100
Button Mushrooms / Button Kaalan, 1, 200
Papaya / Papali, 1, 20
Sav Sav, 1, 16
Sapotta, 1, 20
