Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 30
Tomotto ottu, 1, 8
Ladys Finger, 1, 20
Snake Guard, 1, 18
Bitter Gourd, 1, 30
Bottle gourd, 1, 8
Pumpkin, 1, 16
Bean, 1, 32
Cluster Beans, 1, 14
Red Chilies, 1, 38
Onion, 1, 32
Pallari, 1, 30
Ginger, 1, –
Potato, 1, 30
Radish, 1, 20
Mango, 1, –
Cabbage, 1, 20
Carrot, 1, 24
Beetroot, 1, 30
Soybeans, 1, 80
Drumstick beans, 1, 36
butter beans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 10
Banana Flower, 1, 14
Curry leaves, 1, 20
Coriander leaves, 1, 25
Mint, 1, 25
Greens Leaves, 1, 10
Garlic, 1, 120-140
Button Mushrooms, 1, 196
Papaya, 1, 20
SavSav, 1, 20
