Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 58
Tomotto ottu, 1, 15
Ladys Finger, 1, 30
Snake Guard, 1, 20
Bitter Gourd, 1, 32
Bottle gourd, 1, 10
Pumpkin, 1, 16
Bean, 1, 60
Cluster Beans, 1, 18
Red Chilies, 1, 36
Onion, 1, 34
Pallari, 1, 24
Ginger, 1, –
Potato, 1, 44
Radish, 1, 24
Mango, 1, –
Cabbage, 1, 20
Carrot, 1, 44
Beetroot, 1, 28
Soybeans, 1, 70
Drumstick beans, 1, 46
butter beans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 8
Banana Flower, 1, 6
Curry leaves, 1, 20
Coriander leaves, 1, 40
Mint, 1, 30
Greens Leaves, 1, 10
Garlic, 1, 100-170
Button Mushrooms, 1, 180
Papaya, 1, 14
SavSav, 1, 26
