Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 40
Tomotto ottu, 1, 22
Ladys Finger, 1, 30
Snake Guard, 1, 22
Bitter Gourd, 1, 34
Bottle gourd, 1, 10
Pumpkin, 1, 20
Bean, 1, 36
Cluster Beans, 1, 20
Red Chilies, 1, 36
Onion, 1, 30
Pallari, 1, 28
Ginger, 1, –
Potato, 1, 36
Radish, 1, 30
Mango, 1, –
Cabbage, 1, 24
Carrot, 1, 32
Beetroot, 1, 40
Soybeans, 1, 80
Drumstick beans, 1, 40
butter beans, 1, –
Banana nut, 1 piece, 5
Banana stem, 1, 10
Banana Flower, 1, 8
Curry leaves, 1, 20
Coriander leaves, 1, 30
Mint, 1, 30
Greens Leaves, 1, 10
Garlic, 1, 80-170
Button Mushrooms, 1, 180
Papaya, 1, 24
SavSav, 1, 26
