Commodity, Weight in Kg, Price in Rs
Brinjal / Kathari, 1, 30
Tomotto ottu / Thakkali Ottu, 1, 32
Lady’s Finger / Venda Kai, 1, 36
Snake Guard / Pudalai, 1, 24
Bitter Gourd / Pakar kai, 1, 26
Bottle gourd / Sura kai, 1, 10
Pumpkin / Pusani kai, 1, 14
Beans / Avarai Kai, 1, 50
Cluster Beans / Kothavarai, 1, 20
Red Chilies / Kundu Milagai, 1, 50
Small Onion / Chinna Vengayam, 1, 30
Big Onion / Pallari, 1, 16
Ginger / Inji, 1, –
Potato / Urulai Kelangu, 1, 26
Radish / Mulangi, 1, 20
Mango / Maa, 1, –
Cabbage / Mutta Kose, 1, 20
Carrot, 1, 44
Beetroot, 1, 30
Soya Beans, 1, 90
Drumstick Beans / Murungai Beans, 1, 60
Butter beans, 1, –
Banana nut / Vala kai, 1 piece, 3
Banana stem / Vala Thandu, 1, 10
Banana Flower / Vala Poo, 1, 8
Curry leaves / Karu Vepilai, 1, 30
Coriander leaves / Malli Ilai, 1, 50
Mint / Puthina, 1, 40
Greens Leaves / Keerai Kattu, 1, 12
Garlic / Poondu, 1, –
Button Mushrooms / Button Kaalan, 1, 200
Papaya / Papali, 1, 15
Sav Sav, 1, 26
Sapotta, 1, –
Field bean / Mochai, 1, –
