Commodity, Weight in Kg, Price in Rs
Brinjal / Kathari, 1, 28
Tomotto ottu / Thakkali Ottu, 1, 64
Lady’s Finger / Venda Kai, 1, 26
Snake Guard / Pudalai, 1, 20
Bitter Gourd / Pakar kai, 1, 40
Bottle gourd / Sura kai, 1, 10
Pumpkin / Pusani kai, 1, 14
Beans / Avarai Kai, 1, 60
Cluster Beans / Kothavarai, 1, 20
Red Chilies / Kundu Milagai, 1, 36
Small Onion / Chinna Vengayam, 1, 40
Big Onion / Pallari, 1, 18
Ginger / Inji, 1, –
Potato / Urulai Kelangu, 1, 28
Radish / Mulangi, 1, 26
Mango / Maa, 1, –
Cabbage / Mutta Kose, 1, 34
Carrot, 1, 40
Beetroot, 1, 40
Soya Beans, 1, 110
Drumstick Beans / Murungai Beans, 1, 70
Butter beans, 1, –
Banana nut / Vala kai, 1 piece, 3
Banana stem / Vala Thandu, 1, 10
Banana Flower / Vala Poo, 1, 8
Curry leaves / Karu Vepilai, 1, 20
Coriander leaves / Malli Ilai, 1, 25
Mint / Puthina, 1, 40
Greens Leaves / Keerai Kattu, 1, 10
Garlic / Poondu, 1, –
Button Mushrooms / Button Kaalan, 1, 200
Papaya / Papali, 1, 16
Sav Sav, 1, 36
Sapotta, 1, –
Field bean / Mochai, 1, –
