,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 56,2014- 8-3
1,Avarai Kolee, 1, 37,2014- 8-3
2,Avarai ottu, 1, –,2014- 8-3
3,Beans, 1, 47,2014- 8-3
4,Beetroot, 1, 25,2014- 8-3
5,Bellary, 1, 35,2014- 8-3
6,C Flower, 1Flower, 14,2014- 8-3
7,C Vengayam, 1, 30,2014- 8-3
8,Chaw Chaw, 1, 23,2014- 8-3
9,Kaththari Disco, 1, 25,2014- 8-3
10,Kaththari Green, 1, 25,2014- 8-3
11,Kothavarai, 1, 21,2014- 8-3
12,Milagai Sambar, 1, 25,2014- 8-3
13,Milagai urundai, 1, 42,2014- 8-3
14,Mullaingi, 1, 7,2014- 8-3
15,Murungai chedi, 1, 19,2014- 8-3
16,Murungai Maram, 1, 15,2014- 8-3
17,Nelli, 1, 34,2014- 8-3
18,Pavarkai, 1, 33,2014- 8-3
19,Perkangkai, 1, 30,2014- 8-3
20,Pudalai, 1, 18,2014- 8-3
21,Red Pusanikkai, 1, 10,2014- 8-3
22,Sambar Vellari, 1, 5,2014- 8-3
23,Suraikai, 1, 8,2014- 8-3
24,Thakkali, 1, 40,2014- 8-3
25,Thatta payaru, 1, 14,2014- 8-3
26,Vendai, 1, 15,2014- 8-3
