,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 05,2014-2-1
1,Avarai Kolee / அவரை (கோலி), 1, 05,2014-2-1
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2014-2-1
3,Beans / பீன்ஸ், 1, 10,2014-2-1
4,Beetroot / பீட்ரூட், 1, 09,2014-2-1
5,Bellary / பெல்லாரி, 1, 15,2014-2-1
6,C Flower / காளிபிளவர், 1Flower, 20,2014-2-1
7,C Vengayam / சின்னவெங்காயம், 1, 23,2014-2-1
8,Chaw Chaw / சவ்சவ், 1, 06,2014-2-1
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 10,2014-2-1
10,Kaththari Green / கத்தரி(பச்சை), 1, 07,2014-2-1
11,Kothavarai / கொத்தவரை, 1, 21,2014-2-1
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 09,2014-2-1
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 10,2014-2-1
14,Mullaingi / முள்ளங்கி, 1, 07,2014-2-1
15,Murungai chedi / முருங்கை(செடி), 1, 95,2014-2-1
16,Murungai Maram / முருங்கை(மரம்), 1, 88,2014-2-1
17,Nelli / நெல்லி, 1, 16,2014-2-1
18,Pavarkai / பாகற்காய், 1, 10,2014-2-1
19,Perkangkai / பீர்க்கங்காய், 1, 10,2014-2-1
20,Pudalai / புடலங்காய், 1, 06,2014-2-1
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2014-2-1
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 6.50,2014-2-1
23,Suraikai / சுரைக்காய், 1, 03,2014-2-1
24,Thakkali / தக்காளி, 1, 2.50,2014-2-1
25,Thatta payaru / தட்டப்பயிறு, 1, 10,2014-2-1
26,Vendai / வெண்டைக்காய், 1, 17,2014-2-1
