,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 56,2014-7-2
1,Avarai Kolee, 1, 35,2014-7-2
2,Avarai ottu, 1, –,2014-7-2
3,Beans, 1, 54,2014-7-2
4,Beetroot, 1, 25,2014-7-2
5,Bellary, 1, 25,2014-7-2
6,C Flower, 1Flower, 15,2014-7-2
7,C Vengayam, 1, 26,2014-7-2
8,Chaw Chaw, 1, 20,2014-7-2
9,Kaththari Disco, 1, 20,2014-7-2
10,Kaththari Green, 1, 20,2014-7-2
11,Kothavarai, 1, 21,2014-7-2
12,Milagai Sambar, 1, 19,2014-7-2
13,Milagai urundai, 1, 36,2014-7-2
14,Mullaingi, 1, 5,2014-7-2
15,Murungai chedi, 1, 50,2014-7-2
16,Murungai Maram, 1, 40,2014-7-2
17,Nelli, 1, 34,2014-7-2
18,Pavarkai, 1, 29,2014-7-2
19,Perkangkai, 1, 25,2014-7-2
20,Pudalai, 1, 15,2014-7-2
21,Red Pusanikkai, 1, 11,2014-7-2
22,Sambar Vellari, 1, 5,2014-7-2
23,Suraikai, 1, 6,2014-7-2
24,Thakkali, 1, 10,2014-7-2
25,Thatta payaru, 1, 14,2014-7-2
26,Vendai, 1, 23,2014-7-2
