,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Belt Beans / Avarai Belt, 1, 18,2016-12-16
1,Beans Kolee / Avarai Kolee, 1, 18,2016-12-16
2,Avarai ottu, 1, –,2016-12-16
3,Beans, 1, 20,2016-12-16
4,Beetroot, 1, 7,2016-12-16
5,Bellary / Big Onion, 1, 13,2016-12-16
6,Cauliflower, 1 Flower, 17,2016-12-16
7,Small Onion / Chinna Vengayam, 1, 15,2016-12-16
8,Chaw Chaw, 1, 5,2016-12-16
9,Disco Brinjal / Kaththari kai Disco, 1, 14,2016-12-16
10,Green Brinjal / Kaththari Kai Pachai, 1, 13,2016-12-16
11,Cluster Beans / Kothavarai, 1, 18,2016-12-16
12,Samba Chilli / Milagai Samba, 1, 18,2016-12-16
13,Round Chilli / Milagai Urundai, 1, 18,2016-12-16
14,Radish / Mullangi, 1, 6,2016-12-16
15,Drumstick / Murungai Chedi, 1, 77,2016-12-16
16,Drumstick / Murungai Maram, 1, 75,2016-12-16
17,Nelli Kai, 1, 22,2016-12-16
18,Bitter Gourd / Pakar kai, 1, –,2016-12-16
19,Perkangkai, 1, 17,2016-12-16
20,Snake Guard / Pudalai, 1, 3,2016-12-16
21,Red Pumpkin / Red Pusanikkai, 1, 2,2016-12-16
22,Sambar Vellari, 1, 5,2016-12-16
23,Bottle gourd / Suraikai, 1, 3,2016-12-16
24,Tomato / Thakkali, 1, 3,2016-12-16
25,Thatta payaru, 1, 23,2016-12-16
26,Lady’s Finger / Venda Kai, 1, 7,2016-12-16
27,Lemon / Elumbichai, 1, 60,2016-12-16
